
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:60598        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60599        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60808        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60810        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60812        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:61552        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:61970        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:61971        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:61972        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:61985        127.0.0.1:63532        ESTABLISHED     29308
  TCP    127.0.0.1:62786        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:63332        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63333        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63334        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:63532        0.0.0.0:0              LISTENING       3324
  TCP    127.0.0.1:63532        127.0.0.1:61985        ESTABLISHED     3324
  TCP    127.0.0.1:63532        127.0.0.1:63546        ESTABLISHED     3324
  TCP    127.0.0.1:63532        127.0.0.1:63576        ESTABLISHED     3324
  TCP    127.0.0.1:63532        127.0.0.1:63936        ESTABLISHED     3324
  TCP    127.0.0.1:63532        127.0.0.1:63937        ESTABLISHED     3324
  TCP    127.0.0.1:63532        127.0.0.1:63973        TIME_WAIT       0
  TCP    127.0.0.1:63532        127.0.0.1:63976        TIME_WAIT       0
  TCP    127.0.0.1:63532        127.0.0.1:65210        TIME_WAIT       0
  TCP    127.0.0.1:63532        127.0.0.1:65211        TIME_WAIT       0
  TCP    127.0.0.1:63532        127.0.0.1:65431        ESTABLISHED     3324
  TCP    127.0.0.1:63535        0.0.0.0:0              LISTENING       29308
  TCP    127.0.0.1:63535        127.0.0.1:63549        ESTABLISHED     29308
  TCP    127.0.0.1:63535        127.0.0.1:63553        ESTABLISHED     29308
  TCP    127.0.0.1:63536        0.0.0.0:0              LISTENING       29308
  TCP    127.0.0.1:63536        127.0.0.1:56374        TIME_WAIT       0
  TCP    127.0.0.1:63536        127.0.0.1:60600        TIME_WAIT       0
  TCP    127.0.0.1:63536        127.0.0.1:63337        TIME_WAIT       0
  TCP    127.0.0.1:63536        127.0.0.1:65189        TIME_WAIT       0
  TCP    127.0.0.1:63545        0.0.0.0:0              LISTENING       29308
